,0,1
0,-131878.80227343427,-28016.0794050239
1,-84357.76412925479,-27286.32801798632
2,-167637.06320705215,-28923.85142353031
3,-129055.0330037508,-28106.570462976848
4,-107967.09534140429,-26113.251909993087
5,-139031.9924244081,-28561.127429772812
6,-221530.94773216394,-943.0313779256418
7,-221860.9005684239,-27079.143912963926
8,-173754.91403486242,-28446.404273429307
9,-221845.47483104267,-28296.23764498132
10,-221546.87033697902,-29976.71477258451
11,-210820.82711163737,-29778.046425631594
12,-142134.59899328594,-28444.011296280045
13,-139395.73425579056,-28326.8601788249
14,-126151.44743945097,-27676.081938592593
15,-170784.24470318246,-29010.168107589572
16,-109089.72272788225,-27549.566440269577
17,-203790.27857882436,-28822.858174043457
18,-133781.52795335877,-28334.637831663622
19,-160679.78032436623,-28697.719897817664
20,-133978.12170458923,-28169.18972955559
21,-182034.46669978104,-29221.195509550842
22,-122393.45870092153,-28064.537163260014
23,-165168.05741321863,-28912.756520545638
24,-114269.32988191945,-27909.939185974064
25,-177503.01576948658,-28935.913322614862
26,-165875.71363388133,-29070.82613753529
27,-161319.0206556081,-28727.876974444694
28,-131357.23630451935,-28252.289787330366
29,-178946.9064557655,-29143.062939404153
30,-143642.56403746898,-28317.071693618764
31,-165769.5790142145,-28943.06459397004
32,-221702.5293309037,-4207.090769441737
33,-182229.9360175359,-29233.299627574354
34,-221894.54658143048,-27151.891466403922
35,-221895.1335431177,-27105.580071895332
36,-167395.35039141783,-28976.56815793671
37,-221581.13617060063,-30000.564778908672
38,-154095.72130432754,-28548.258869276935
39,-181165.4738524047,-29153.286620520495
40,-163753.9359294936,-28709.281165036136
41,-185015.7204698848,-28825.228954506652
42,-141350.88013537772,-27882.909326409375
43,-135539.6565618484,-28318.59337210391
44,-166776.21638801147,-28952.980121948105
45,-156742.92355521975,-28788.838970832672
46,-150872.06233183554,-28626.061986426303
47,-169780.3198707327,-28917.709672674697
48,-156579.8269719588,-28611.42620932493
49,-207053.21279451728,-29442.603831746113
50,-156658.82275777715,-28739.685837363602
51,-156732.43564538463,-28649.318186233224
52,-134011.2106457615,-28092.45066137212
53,-181703.04504839377,-28524.37958641932
54,-148501.2587247614,-27868.265783622694
55,-127380.57197757889,-28161.974231736815
56,-155870.86155280398,-28101.968959725393
57,-145038.66859012996,-28465.155331151807
58,-214807.2391548076,-29503.90990360291
59,-186699.43905912098,-29490.378601720666
60,-170786.33206315368,-28958.87660661099
61,-156194.20560627454,-28761.867417588222
62,-168244.51000949857,-28985.867693852633
63,-167369.86377912803,-28894.388738250454
64,-156290.23812733687,-28600.772488936887
65,-144735.57848326853,-28416.983622486667
66,-213969.64580417724,-28647.404041349517
67,-221927.57471351908,-27125.886930377696
