,0,1,2
0,-10.255586,3.1941464,-5.441562
1,-10.410032,5.8122997,-2.9856484
2,-10.038775,0.31999642,-7.9538856
3,-8.733636,4.4018645,-2.6235566
4,-8.354357,0.33264762,-1.9202528
5,-9.00729,3.6004393,-10.773161
6,21.066763,10.592059,-4.0432673
7,-24.903797,-23.082125,1.3022629
8,-1.8758242,0.41091388,2.817359
9,-24.878859,-22.677616,2.0479975
10,-24.141912,-11.808983,-0.288327
11,-16.1607,6.581705,-7.8967433
12,-12.047488,2.018169,-9.302721
13,-8.602395,-1.4350103,-6.190964
14,-10.199548,0.4095923,-8.272779
15,-13.197985,6.168767,-3.986459
16,-11.964864,3.0059583,-7.556423
17,0.27584624,-6.3489523,4.1493864
18,-4.249149,6.7434163,-8.016084
19,-8.386332,0.028863398,-6.125725
20,-12.050921,2.974431,-7.645742
21,-10.186555,0.6688051,-7.8577266
22,-10.810071,5.867476,-3.1815262
23,-15.242541,5.130118,-7.916375
24,-10.1796465,0.49985445,-8.156576
25,-7.559946,-0.4480768,-5.028179
26,-4.049214,3.187598,-7.2468457
27,-12.118106,3.2250068,-7.623208
28,-15.1745405,7.291305,-5.5381284
29,-15.879315,6.2759895,-7.503008
30,-11.094189,4.029704,-6.3445144
31,-11.416672,1.747105,-9.258313
32,20.992062,10.684663,-4.012882
33,-13.102625,3.100693,-7.9004908
34,-24.895782,-23.046347,1.3432753
35,-24.903118,-23.080084,1.3037263
36,-9.10467,-1.018187,-6.8110123
37,-24.140808,-11.809388,-0.2867838
38,-10.125879,1.655688,-6.78784
39,-12.264691,3.8641999,-7.811247
40,-3.939741,-0.17250887,-7.252047
41,-0.9573285,-3.1501462,3.166306
42,-14.404731,3.5897615,-9.024623
43,-15.399241,5.5698657,-7.746824
44,-9.67278,-0.061016943,-7.598391
45,-14.424493,3.4110637,-9.154776
46,-10.24847,0.5605495,-8.125719
47,-8.418131,-0.05923514,-6.146253
48,-11.778265,3.0040202,-7.4277472
49,-1.2226596,-2.0619402,3.438108
50,-4.333913,6.5886745,-8.028686
51,-13.309348,3.501947,-7.886621
52,-6.4312153,2.8591485,-1.0635738
53,-7.7797904,-0.0058780764,-5.3460975
54,-10.638836,4.759249,-4.673987
55,-14.522904,3.6516883,-8.995621
56,-8.443524,-2.054859,-5.9729266
57,-13.537403,3.582052,-7.937172
58,0.9010995,-7.684508,4.327114
59,-13.898187,7.577033,-9.958243
60,-8.423872,-1.7102176,-5.9643707
61,-14.463637,3.4268644,-9.075727
62,-11.103329,5.220563,-1.9647565
63,-8.464804,-0.99163854,-6.089012
64,-7.4285617,3.2158005,-1.6019392
65,-10.606505,5.1200066,-4.404298
66,0.75855434,-11.915246,5.604821
67,-24.903713,-23.081863,1.3024007
68,-24.90357,-23.081432,1.3026307
69,-24.145666,-11.808302,-0.29353666
70,21.23935,5.162433,0.9577612
71,22.00143,9.228215,-5.1478686
72,-13.02308,7.7227674,-6.44566
73,-24.907679,-23.09245,1.2982231
74,-24.9041,-23.083012,1.301812
75,-24.904636,-23.084568,1.3010689
76,-24.905499,-23.086994,1.3002305
77,-24.905249,-23.086302,1.3005147
78,-24.900629,-23.071629,1.3099536
79,-10.833369,5.4137063,-3.933854
80,-3.9346185,-9.505296,30.133463
81,-3.9346154,-9.50526,30.133266
82,-1.545838,0.19488803,2.8808143
83,-15.729493,7.5601315,-5.611913
84,21.071291,10.586314,-4.0464873
85,-24.90283,-23.079187,1.304302
86,-13.080198,7.642349,-6.2880106
87,-24.900703,-23.071913,1.3097042
88,1.3205868,-11.5692835,3.781957
89,-11.34644,5.986297,-5.1031823
90,-24.905989,-23.08833,1.2997048
91,-24.907145,-23.091051,1.298643
92,6.3841953,-1.8697369,6.6844683
93,-3.5851016,1.1402103,-4.8937736
94,-24.906975,-23.090597,1.2987864
95,21.829216,9.627765,-4.4354024
96,-3.9346154,-9.505251,30.133245
97,-24.903261,-23.080503,1.3031499
98,-8.293809,-1.2748456,-5.8458624
99,-24.903011,-23.079754,1.3039212
100,-3.9346182,-9.505292,30.133436
101,-11.059422,5.8531947,-3.1758907
102,-15.060968,4.6620097,-8.093265
103,-8.344622,-0.24836184,-6.0472684
