,0,1,2
0,7.6876564,-4.253722,3.6071522
1,8.493572,0.90308577,1.5000898
2,3.3488657,-8.727748,5.5414724
3,7.868626,-4.056639,3.3750868
4,-1.0607662,5.987933,13.497555
5,7.703845,-5.1679196,3.6000345
6,-7.120569,7.1567264,-7.8769746
7,-18.38989,3.0811176,-8.69401
8,2.4833095,-9.803089,5.123326
9,-18.742083,2.682702,-9.138846
10,-15.810386,-6.8281584,-4.307698
11,-5.375405,-7.4188967,-0.074188754
12,7.26509,-5.5157866,4.0365934
13,7.3565326,-5.129673,3.9547458
14,-2.5740852,1.0295392,12.959678
15,3.009822,-9.26788,5.293503
16,8.205123,-1.6084056,2.3925765
17,-2.142998,-6.0474133,18.366402
18,7.9074693,-4.6783667,3.3531096
19,4.8648186,-7.860935,5.2101593
20,7.536599,-4.4013376,3.764391
21,1.6203977,-11.054298,5.003305
22,8.179342,-3.0414972,2.8214567
23,4.2587347,-8.473109,5.3370223
24,8.376207,-2.253742,2.3740387
25,2.0450902,-10.525447,5.196412
26,7.9210644,-10.617394,0.35055396
27,4.931581,-7.9997888,5.2647057
28,7.753535,-4.187736,3.5006754
29,1.9965559,-10.9078665,5.2899523
30,7.0490327,-5.7171826,4.2472143
31,4.3824577,-8.620543,5.5839667
32,-6.793797,7.6632476,-8.092573
33,1.7241846,-11.166719,5.113917
34,-15.77052,1.6416174,-4.501944
35,-15.769266,1.6474857,-4.505008
36,4.279589,-8.828952,5.491478
37,-11.623368,-3.9800367,-3.905656
38,5.8048844,-7.077343,5.079911
39,2.0061038,-11.215195,5.374868
40,8.126418,-10.734296,-0.15878677
41,1.6511955,-11.425307,5.1104593
42,-2.1947954,-0.15558885,12.731264
43,7.4698005,-4.58104,3.8431704
44,4.559416,-8.866333,5.461008
45,5.7304134,-7.4059186,5.0817156
46,6.1783695,-6.7129564,4.909816
47,4.406523,-9.21991,5.4801974
48,5.6697598,-7.3472767,5.217283
49,-3.1423302,-8.940281,-1.8203187
50,6.410836,-7.8684754,4.2761025
51,5.729769,-7.391268,5.2919493
52,7.4541197,-4.396412,3.8538253
53,-1.8878856,-4.3563957,14.750572
54,-2.1025167,-0.54696137,12.713129
55,8.015042,-3.585455,3.1341305
56,-2.120835,-1.1006615,12.71434
57,6.8960238,-5.8967414,4.401037
58,-3.443368,-6.79167,-3.1902153
59,7.516503,-15.617763,-0.23855583
60,4.8259864,-9.609855,5.758682
61,5.8736043,-7.4253974,5.217042
62,4.9507785,-9.325384,5.6568294
63,4.9885044,-9.221076,5.6702104
64,5.8549504,-7.4283147,5.251341
65,6.860932,-5.8584065,4.459662
66,-3.1248198,-7.2273273,-3.8889844
67,-11.536194,1.841934,-1.5502493
68,-11.536093,1.841853,-1.5502383
69,-9.380492,-1.5764267,-4.5503397
70,-5.7303348,3.3489456,-7.209207
71,-6.2065268,-0.47262764,-15.538682
72,10.001795,4.768073,1.7820216
73,-11.095238,1.8772341,-1.4891564
74,-11.092352,1.8763154,-1.488807
75,-11.094593,1.8765463,-1.4890985
76,-11.092695,1.8766885,-1.4888358
77,-11.094744,1.8767055,-1.4891114
78,-11.091173,1.8750741,-1.4887035
79,5.427585,-8.686185,5.6649547
80,-11.6935215,4.1976485,-2.4253414
81,-4.8113165,-5.279245,22.551807
82,-3.1081674,-6.0499244,-4.450283
83,-2.3198323,0.292217,12.793395
84,-7.1127195,7.123165,-7.6391664
85,-11.01323,1.8697855,-1.4782684
86,8.421884,-0.0669643,1.6353619
87,-11.012724,1.8692104,-1.4782271
88,-3.185386,-5.854984,-5.088701
89,-2.2152338,0.10844755,12.757384
90,-11.013757,1.8703878,-1.4783123
91,-11.013904,1.8705579,-1.4783247
92,6.66567,-16.085398,3.3532403
93,8.51311,-3.3853712,2.544549
94,-11.013884,1.8705336,-1.4783229
95,-7.2458873,6.684973,-7.394743
96,-11.687935,4.1947904,-2.423229
97,-10.954034,1.860994,-1.4705062
98,5.122959,-9.430688,5.8021297
99,-10.954003,1.8609532,-1.4705038
100,-11.681479,4.1910157,-2.4207094
101,4.8713765,-9.922294,5.7930727
102,4.712549,-10.132056,5.905299
103,5.3891163,-8.939933,5.7697906
104,8.381618,-3.0880184,2.6833675
105,5.3813286,-8.972845,5.757494
106,-2.0647142,-0.27482682,12.728142
107,-1.8314124,-10.128605,-1.823948
108,-1.863888,-9.9643135,-1.756471
109,-2.9950705,-6.7523184,-4.280198
110,7.7759514,-10.384679,0.5874361
111,3.8058994,-8.4386835,5.254875
112,1.2993798,-10.89535,4.701825
113,2.3903995,-9.857993,5.2288504
114,-0.7040327,-2.315483,12.514843
115,8.285754,-1.4552805,2.2407284
116,-10.95816,-7.4567146,-4.668022
117,5.379318,-7.0171275,5.0682425
118,2.1800623,-10.088112,5.1100364
119,-2.930182,-5.497329,20.371065
120,-2.302441,-6.007905,18.70264
121,7.8063555,-4.3306627,3.4592671
122,9.902173,4.5181513,1.7884902
123,-2.188463,-2.932484,2.899217
124,-2.0219932,-10.718143,0.24966505
125,0.104355365,-11.795172,3.659736
126,-2.3651092,-9.857025,-0.30232918
127,8.439792,-2.494394,2.3535695
128,-6.0326443,9.180382,7.988713
129,8.58651,1.047933,1.3661962
130,-15.408773,2.2952054,-7.909763
131,-15.408908,2.2952178,-7.9096384
132,-10.58749,4.17016,5.219711
133,8.640234,0.98971975,1.2456999
134,-15.403155,2.2946894,-7.91509
135,-15.406132,2.2949712,-7.912268
136,8.349814,-2.406742,2.4507294
137,-15.415194,2.2958128,-7.9036503
138,-15.621989,2.3187404,-7.7206793
139,-15.405671,2.294928,-7.912701
140,7.9439325,-3.9149423,3.2510037
141,-15.420187,2.2963183,-7.898997
142,-4.4217196,-5.9481473,23.57749
143,4.9369555,-7.7949777,5.1424155
144,7.0351305,-5.916737,4.216992
145,9.639784,3.5651324,1.2862295
146,8.605822,0.2667133,1.3314923
147,8.607073,1.1218574,1.3473092
148,-1.3184929,8.164743,14.889982
149,7.1503963,-5.8109202,4.1196456
150,8.146375,-3.1400917,2.8783035
151,-5.5445595,-5.161178,-0.5783404
152,-1.9901931,-11.165242,0.30072546
153,8.607544,-0.4406632,1.4627802
154,7.659344,-4.693305,3.6379697
155,-2.5581968,1.1145048,12.98712
156,7.634383,1.0944059,2.945888
157,8.51019,-2.410497,2.2297797
158,7.743626,-4.354328,3.5309324
